# numFound=184 rows=184 query=(creator:"Pestalozzi, Johann Heinrich" OR creator:"Pestalozzi, Johann")
# ★ date 是**原作年**不是版次年；PD 判定看题名页
identifier	date	year	creator	title	language	collection
11421324bsb	1823-01-01T00:00:00Z	1823	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 10	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10116095bsb	1790-01-01T00:00:00Z	1790	Pestalozzi, Johann Heinrich	Lienhard und Gertrud: Ein Versuch, die Grundsätze der Volksbildung zu vereinfachen. 2	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10926701bsb	1821-01-01T00:00:00Z	1821	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 7	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10926705bsb	1823-01-01T00:00:00Z	1823	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 11	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11089574bsb	1820-01-01T00:00:00Z	1820	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 5	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11421318bsb	1820-01-01T00:00:00Z	1820	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 4	German	german-online-libraries; booksbylanguage_german; booksbylanguage
pestalozzissmmt02seyfgoog	1869-01-01T00:00:00Z	1869	Pestalozzi, Johann Heinrich, 1746-1827	Pestalozzi's sämmtliche werke. Gesichtet, vervollständigt und mit erläuternden einleitungen versehen	ger	americana
10926694bsb	1819-01-01T00:00:00Z	1819	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 2	German	german-online-libraries; booksbylanguage_german; booksbylanguage
schriftenzurmens0000pest	1977-01-01T00:00:00Z	1977	Pestalozzi, Johann Heinrich, 1746-1827	Schriften zur Menschenbildung und Gesellschaftsentwicklung	ger	internetarchivebooks; inlibrary; printdisabled; fav-czytelnik102
pestalozzi0000pest	1974-01-01T00:00:00Z	1974	Pestalozzi, Johann Heinrich, 1746-1827	Pestalozzi	eng	internetarchivebooks; inlibrary; printdisabled; fav-bozhidara_ivanova; fav-joanie1301; fav-joyfunglow; fav-juanma_pecci; fav-kenneth_lau; fav-mehmetsensey; fav-poorneema; fav-wmhmw
meinelebensschi01pestgoog	1826-01-01T00:00:00Z	1826	Pestalozzi, Johann Heinrich, 1746-1827	Meine Lebensschicksale als Vorsteher meiner Erziehungsinstitute in Burgdorf und Iferten	ger	americana
10050004bsb	1846-01-01T00:00:00Z	1846	Pestalozzi, Johann Heinrich	Pestalozzi's Leben und Ansichten: in einem wortgetreuen Auszuge aus sämmtlichen von Pestalozzi herrührenden Schriften zur Feier von dessen hundertstem Geburtstage dargestellt	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11341412bsb	1822-01-01T00:00:00Z	1822	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 8	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11721925bsb	1819-01-01T00:00:00Z	1819	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 1	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10724505bsb	1819-01-01T00:00:00Z	1819	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 1	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10724512bsb	1822-01-01T00:00:00Z	1822	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 9	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10128423bsb	1844-01-01T00:00:00Z	1844	Pestalozzi, Johann Heinrich	Pestalozzi's Lienhard und Gertrud: ein Buch für das Volk ; Die zwei ersten Theile, in Einem Bande nach der ursprünglichen Ausgabe neu gedruckt	German	german-online-libraries; booksbylanguage_german; booksbylanguage
10926696bsb	1820-01-01T00:00:00Z	1820	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 4	German	german-online-libraries; booksbylanguage_german; booksbylanguage
11421321bsb	1821-01-01T00:00:00Z	1821	Pestalozzi, Johann Heinrich	Pestalozzi's sämmtliche Schriften. 7	German	german-online-libraries; booksbylanguage_german; booksbylanguage
