sequence	commit	subject	status	material_loss	current_canonical_evidence	next_action
1	05d2f91a6cfe7c734b175d04fb5d1491799ca579	docs(openaidatabase): converge current owner records	integrated	no	当前 docs/governance 经 OpenAIDatabase/scripts/lean_governance.py 确定生成三份 human views，check-render PASS	保持 generated-only，不复制旧 owner review
2	6ea076b4714a087e1ff23c9b4c817bb3d85df82a	docs(governance): consolidate agent loop guidance	superseded	no	迁移后根 AGENTS.md 与 OpenAIDatabase/AGENTS.md 已定义 canonical、路由与禁写边界	禁止恢复旧 scripts/agent_loop 与旧根 governance
3	9cef9d79b760290c72fde17fc3e7198c32b02295	fix(openaidatabase): harden Cloudflare validation	superseded	no	当前 Cloudflare config/scripts/tests 保留在 OpenAIDatabase，live 状态未在本 run 重验	沿当前合同维护；不得复写 live PASS
4	d4b3e4819c2eb380d268dc59b474a2f551208100	chore(governance): record S03 cleanup manifest	superseded	no	根双平面 machine/facts -> 文档/ 七文件与迁移 handoff 取代旧 cleanup manifest	禁止回灌旧 governance/
5	0c9325209255e983b91d4f9232cdbdef7738d789	OpenAIDatabase v1.2.1 S04-P1: 拆分前端 feature 与共享状态	superseded	no	前端已迁为顶层 MemoryAtlas，现有 app/features/shared/state 已形成新边界	只在顶层 MemoryAtlas 维护
6	1ee4b12f1ae2526748b1496996324403cc8c8739	OpenAIDatabase v1.2.1 S04-P2: 模块化 atlasctl 与运行时	pending	yes	当前无 OpenAIDatabase/scripts/atlasctl_core 与 config/atlasctl.runtime.json	下一 run 仅恢复 S04-P2 的当前架构等价实现
7	6baeb8923ae8fac10935ec14949f1931907d21f6	OpenAIDatabase v1.2.1 S04-P3: 收敛验证 profiles	pending	yes	当前无 config/validation_profiles.v1.json 与 validation_command_migrations.v1.json	S04-P2 通过后单独执行 S04-P3
8	29be66c89555dbe9d73307a4b9da16462dea8f27	feat(openaidatabase): harden S04 validation review	pending	yes	当前 candidate gate 不覆盖 preserved S04 semantic inventory/review hardening	S04 三个 phase 后重建 review gate
9	425bc058469d4e50f9c5313d0e65db76ea931ff4	docs(openaidatabase): bind S04 whole-stage evidence	pending	yes	active canonical 尚无 S04 whole-stage 当前证据	S04 review 通过后再绑定
10	024d17ccc677bbc8e18e5f07f7bb230ecf8c2dbc	docs(openaidatabase): complete S05-P1 human plane compression	superseded	no	根七文件与 OpenAIDatabase 三份 generated human views 已取代旧手写平面	维持双平面与 generated-only
11	9cf9b83d9e3028f6d216b51540794c71b8a25edd	refactor(openaidatabase): make S05-P2 machine truth unique	superseded	no	根 machine/facts 与 OpenAIDatabase docs/governance 分属明确所有权，无旧第二事实源	不得恢复 legacy truth index
12	0b34116ffc92f0c1fcbeb7b56c89769ed43819e0	feat(openaidatabase): complete S05 P3 zh-CN semantic gate	pending	yes	当前 check-render 不等于 preserved S05-P3 zh-CN semantic acceptance	单独重建并重验 S05-P3
13	1bc4ee933078de4cf1527b30fd9e4cb23816f023	fix(openaidatabase): complete S05 whole-stage review	pending	yes	S05-P3 未恢复，whole-stage 不能先写 PASS	依赖 S05-P3 后 review
